date,price
31/07/2014,1000
1/08/2014,1018.2027
2/08/2014,1008.7724
3/08/2014,1004.4165
4/08/2014,1004.9841
5/08/2014,998.0411
6/08/2014,999.8663
7/08/2014,1006.144
8/08/2014,1012.5056
9/08/2014,1006.8462
10/08/2014,1006.865
11/08/2014,980.9331
12/08/2014,970.5077
13/08/2014,930.4766
14/08/2014,862.7822
15/08/2014,843.5154
16/08/2014,891.0207
17/08/2014,846.5181
18/08/2014,786.4922
19/08/2014,829.4406
20/08/2014,880.5011
21/08/2014,882.2979
22/08/2014,882.5566
23/08/2014,849.4587
24/08/2014,869.3409
25/08/2014,855.7834
26/08/2014,872.9781
27/08/2014,872.5129
28/08/2014,866.2611
29/08/2014,868.4954
30/08/2014,857.5924
31/08/2014,820.8687
1/09/2014,814.2321
2/09/2014,810.9594
3/09/2014,811.6339
4/09/2014,836.8057
5/09/2014,822.1686
6/09/2014,826.1333
7/09/2014,822.7349
8/09/2014,806.7998
9/09/2014,808.113
10/09/2014,817.4124
11/09/2014,816.5868
12/09/2014,812.1096
13/09/2014,816.6118
14/09/2014,816.7507
15/09/2014,813.2662
16/09/2014,796.4645
17/09/2014,785.3543
18/09/2014,733.2342
19/09/2014,680.2145
20/09/2014,706.2805
21/09/2014,685.1786
22/09/2014,688.7219
23/09/2014,746.7688
24/09/2014,725.9929
25/09/2014,704.7672
26/09/2014,696.8118
27/09/2014,688.1427
28/09/2014,653.2935
29/09/2014,646.2271
30/09/2014,669.9979
1/10/2014,659.2524
2/10/2014,644.0672
3/10/2014,618.4117
4/10/2014,570.657
5/10/2014,565.2825
6/10/2014,571.0504
7/10/2014,576.0868
8/10/2014,611.7703
9/10/2014,620.1448
10/10/2014,618.2749
11/10/2014,621.4034
12/10/2014,645.907
13/10/2014,666.8306
14/10/2014,685.7847
15/10/2014,674.9876
16/10/2014,653.4982
17/10/2014,654.9048
18/10/2014,669.6545
19/10/2014,665.5178
20/10/2014,653.6735
21/10/2014,659.4482
22/10/2014,654.9218
23/10/2014,615.3887
24/10/2014,612.4064
25/10/2014,598.7981
26/10/2014,603.3437
27/10/2014,601.4677
28/10/2014,606.3573
29/10/2014,575.3415
30/10/2014,592.5156
31/10/2014,580.3094
