Date,Open,High,Low,Close,Volume,MarketCap
5/2/2018,834.96,856.65,644.6,697.95,4269530000,81337400000
4/2/2018,964.67,969.03,805.06,834.68,2997090000,93953400000
3/2/2018,919.21,991.94,847.69,964.02,3243480000,89507600000
2/2/2018,1035.77,1035.77,757.98,915.78,6713290000,1.00836E+11
1/2/2018,1119.37,1161.35,984.82,1036.79,5261680000,1.08952E+11
31/1/2018,1071.09,1128.66,1034.5,1118.31,3757560000,1.04231E+11
30/1/2018,1184.13,1184.63,1058.97,1071.13,4107860000,1.15207E+11
29/1/2018,1246.7,1256.7,1169.08,1182.36,3715080000,1.21269E+11
28/1/2018,1111.78,1257.77,1111.78,1246.01,5372330000,1.08122E+11
27/1/2018,1055.75,1121.98,1042.12,1107.07,3002870000,1.02651E+11
26/1/2018,1052.7,1080.6,996.78,1055.17,3617690000,1.02334E+11
25/1/2018,1063.22,1104.66,1034.74,1056.03,4050190000,1.03335E+11
24/1/2018,987.48,1062.44,965.81,1058.78,3944040000,95952700000
23/1/2018,1004.17,1023.23,920.54,986.23,3556700000,97554300000
22/1/2018,1055.35,1089.1,930.74,1003.26,3810100000,1.02504E+11
21/1/2018,1155.68,1155.68,1021.5,1049.58,3378090000,1.12226E+11
20/1/2018,1044.95,1167.11,1044.95,1155.15,3975190000,1.01451E+11
19/1/2018,1028.82,1093.22,1003.71,1039.1,4084450000,99863900000
18/1/2018,1016.44,1100.31,967.76,1036.28,5938320000,98642100000
17/1/2018,1061.34,1090.23,780.92,1014.25,8545160000,1.02974E+11
16/1/2018,1292.63,1292.63,875.54,1053.69,8405140000,1.25389E+11
15/1/2018,1365.21,1390.59,1290.6,1291.92,4781100000,1.32404E+11
14/1/2018,1397.48,1400.56,1286.21,1366.77,4841630000,1.35503E+11
13/1/2018,1270.47,1432.88,1270.47,1396.42,5746760000,1.23163E+11
12/1/2018,1158.29,1296.04,1120.09,1273.2,5222300000,1.12263E+11
11/1/2018,1268.09,1337.3,1135.17,1154.93,7235900000,1.22879E+11
10/1/2018,1300.34,1417.38,1226.6,1255.82,9214950000,1.25976E+11
9/1/2018,1146,1320.98,1145.49,1299.74,7965460000,1.10999E+11
8/1/2018,1158.26,1266.93,1016.05,1148.53,8450970000,1.12164E+11
7/1/2018,1043.01,1153.17,1043.01,1153.17,5569880000,1.00981E+11
6/1/2018,995.15,1060.71,994.62,1041.68,4662220000,96326500000
5/1/2018,975.75,1075.39,956.33,997.72,6683150000,94423900000
4/1/2018,961.71,1045.08,946.09,980.92,6502860000,93049400000
3/1/2018,886,974.47,868.45,962.72,5093160000,85703500000
2/1/2018,772.35,914.83,772.35,884.44,5783350000,74695700000
1/1/2018,755.76,782.53,742,772.64,2595760000,73075800000
31/12/2017,712.21,760.35,710.12,756.73,2554270000,68850800000
30/12/2017,753.82,753.82,685.23,717.26,3187780000,72856900000
29/12/2017,740.39,770.12,729.61,753.59,2648970000,71544300000
28/12/2017,762.21,763.32,701.19,737.02,2389150000,73637100000
27/12/2017,774.97,789.25,738.41,762.84,2100030000,74854100000
26/12/2017,763.37,786.79,760.93,773.84,2201160000,73717800000
25/12/2017,698.87,782.52,698.87,765.83,2491760000,67475100000
24/12/2017,721.77,721.77,614.92,694.15,2300550000,69671200000
23/12/2017,681.32,763.89,679.73,719.39,2480340000,65752100000
22/12/2017,822.64,827.68,543.76,674.86,4977710000,79374400000
21/12/2017,820.24,880.54,792.69,821.06,3569060000,79125300000
20/12/2017,827.52,845.06,756,819.09,3969940000,79810600000
19/12/2017,793.9,881.94,785.34,826.82,4096550000,76552200000
18/12/2017,721.73,803.93,689.23,794.64,3249230000,69578400000
17/12/2017,696.24,735.83,696.24,719.98,2147390000,67106400000
16/12/2017,686.19,718.38,680.79,696.21,2165690000,66124200000
15/12/2017,696.38,697.13,621.06,684.45,2758710000,67090900000
14/12/2017,700.59,753.12,664.99,695.82,3821580000,67482900000
13/12/2017,644.91,747.99,597.8,702.77,4524540000,62105600000
12/12/2017,522.29,657.32,504.49,651.43,5179830000,50286400000
11/12/2017,440.36,516.97,439.1,515.14,1771440000,42389300000
10/12/2017,472.79,472.79,429.51,441.72,1404180000,45501400000
9/12/2017,457.34,504.15,456.25,473.5,2003850000,44005600000
8/12/2017,434.99,466.06,422.37,456.03,2336380000,41845800000
7/12/2017,426.37,441.4,414.41,434.41,2129570000,41007600000
6/12/2017,462.6,462.71,420.21,428.59,1998260000,44483100000
5/12/2017,470.29,473.56,457.66,463.28,1216720000,45212800000
4/12/2017,466.05,474.78,453.31,470.2,1005550000,44795700000
3/12/2017,463.7,482.81,451.85,465.85,990557000,44560500000
2/12/2017,466.85,476.24,456.65,463.45,943650000,44853300000
1/12/2017,445.21,472.61,428.31,466.54,1247880000,42765000000
30/11/2017,431.21,465.5,401.24,447.11,1903040000,41411900000
29/11/2017,473.28,522.31,425.07,427.52,2675940000,45442100000
28/11/2017,480.52,482.48,466.35,472.9,1346500000,46127200000
27/11/2017,471.53,493.4,468.49,480.36,1396480000,45255000000
26/11/2017,465.97,472.72,451.61,471.33,1197780000,44712100000
25/11/2017,475.68,485.19,461.05,466.28,1422080000,45633400000
24/11/2017,412.5,480.97,402.76,474.91,2292830000,39564300000
