Date,Open,High,Low,Close,Volume,MarketCap
5/2/2018,107.58,108.97,75.75,82.37,312096000,6992380000
4/2/2018,122.22,124.01,102.03,107.45,203674000,7943970000
3/2/2018,121.03,127.28,106.91,122.97,255707000,7867210000
2/2/2018,125.64,129.19,91.96,120.13,552639000,8166710000
1/2/2018,145.96,147.16,115.27,126,356495000,9487200000
31/1/2018,145.4,148.18,133.32,145.76,357309000,9451090000
30/1/2018,168.86,173.75,140.13,146.28,670295000,10976100000
29/1/2018,152.08,168.14,151.46,168.14,602514000,9885260000
28/1/2018,140.37,153.61,140.37,152.16,246175000,9124100000
27/1/2018,138.14,142.07,134.35,140.2,207868000,8979150000
26/1/2018,137.75,141.13,126.53,137.89,324067000,8953600000
25/1/2018,138.09,146.94,134.58,138,315010000,8976150000
24/1/2018,122.57,144.12,118.15,136.41,433360000,7966980000
23/1/2018,123.37,129.71,110.18,121.6,263389000,8018770000
22/1/2018,132.3,137.78,112.38,123.66,346611000,8599480000
21/1/2018,150.23,150.23,126.2,131.09,346048000,9764800000
20/1/2018,140.49,157.19,138.65,149.94,501671000,9132020000
19/1/2018,141.25,150.15,132.97,139.5,494800000,9181130000
18/1/2018,142.6,159.49,129.85,142.66,838634000,9269200000
17/1/2018,144.72,154.29,94.57,141.37,1587920000,9407150000
16/1/2018,187.97,187.97,104.29,145.3,1664430000,12217900000
15/1/2018,170.1,196.85,147.4,187.41,1455620000,11056500000
14/1/2018,140.56,176.83,135.92,170.42,648694000,9136460000
13/1/2018,124.15,146.51,124.15,140.62,455703000,8069500000
12/1/2018,109.19,126.55,105.25,124.47,234757000,7097050000
11/1/2018,123.1,124.33,102.66,108.3,270718000,8001780000
10/1/2018,127.23,127.26,111.05,122.99,361797000,8270280000
9/1/2018,102.07,129.87,101.84,126.94,529663000,6634310000
8/1/2018,102.12,108.6,90.68,102.38,231395000,6638000000
7/1/2018,101.12,108.52,99.2,102.43,196621000,6572870000
6/1/2018,95.31,103.13,91.9,100.86,187746000,6195060000
5/1/2018,98.91,106.24,89.58,95.28,292933000,6429220000
4/1/2018,104.79,109.2,96.24,99.11,332546000,6811420000
3/1/2018,90.3,105.56,86.89,105.56,288086000,5869250000
2/1/2018,78.53,97.01,78.53,90.33,373377000,5104180000
1/1/2018,76.19,80.69,72.72,78.82,142094000,4952450000
31/12/2017,72.56,78.01,67.69,75.96,181357000,4716090000
30/12/2017,74.18,74.54,63.02,72.4,202377000,4821840000
29/12/2017,65.7,74.82,63.14,73.9,163331000,4270520000
28/12/2017,66.76,66.94,58.22,65.43,135592000,4339530000
