DATE,DTB4WK
29/04/2013,0.03
30/04/2013,0.03
1/05/2013,0.03
2/05/2013,0.02
3/05/2013,0.02
6/05/2013,0.01
7/05/2013,0.01
8/05/2013,0.01
9/05/2013,0.02
10/05/2013,0.02
13/05/2013,0.02
14/05/2013,0.01
15/05/2013,0.01
16/05/2013,0
17/05/2013,0.01
20/05/2013,0.01
21/05/2013,0.04
22/05/2013,0.04
23/05/2013,0.03
24/05/2013,0.03
27/05/2013,.
28/05/2013,0.02
29/05/2013,0.04
30/05/2013,0.02
31/05/2013,0.03
3/06/2013,0.03
4/06/2013,0.05
5/06/2013,0.04
6/06/2013,0.04
7/06/2013,0.04
10/06/2013,0.04
11/06/2013,0.05
12/06/2013,0.04
13/06/2013,0.04
14/06/2013,0.04
17/06/2013,0.05
18/06/2013,0.04
19/06/2013,0.04
20/06/2013,0.03
21/06/2013,0.02
24/06/2013,0.01
25/06/2013,0.03
26/06/2013,0.02
27/06/2013,0.02
28/06/2013,0.02
1/07/2013,0.01
2/07/2013,0.02
3/07/2013,0.03
4/07/2013,.
5/07/2013,0.03
8/07/2013,0.02
9/07/2013,0.04
10/07/2013,0.03
11/07/2013,0.02
12/07/2013,0.02
15/07/2013,0.02
16/07/2013,0.02
17/07/2013,0.02
18/07/2013,0.01
19/07/2013,0.01
22/07/2013,0.01
23/07/2013,0.02
24/07/2013,0.02
25/07/2013,0.02
26/07/2013,0.02
29/07/2013,0.01
30/07/2013,0.03
31/07/2013,0.03
1/08/2013,0.02
2/08/2013,0.02
5/08/2013,0.03
6/08/2013,0.05
7/08/2013,0.05
8/08/2013,0.05
9/08/2013,0.05
12/08/2013,0.05
13/08/2013,0.06
14/08/2013,0.06
15/08/2013,0.05
16/08/2013,0.05
19/08/2013,0.03
20/08/2013,0.03
21/08/2013,0.02
22/08/2013,0.01
23/08/2013,0.02
26/08/2013,0.03
27/08/2013,0.04
28/08/2013,0.04
29/08/2013,0.03
30/08/2013,0.02
2/09/2013,.
3/09/2013,0.03
4/09/2013,0.02
5/09/2013,0.03
6/09/2013,0.02
9/09/2013,0.02
10/09/2013,0.01
11/09/2013,0.01
12/09/2013,0.01
13/09/2013,0.01
16/09/2013,0.01
17/09/2013,0.01
18/09/2013,0.01
19/09/2013,0
20/09/2013,0.01
23/09/2013,0.01
24/09/2013,0.02
25/09/2013,0.02
26/09/2013,0.04
27/09/2013,0.03
30/09/2013,0.03
1/10/2013,0.1
2/10/2013,0.08
3/10/2013,0.13
4/10/2013,0.12
7/10/2013,0.15
8/10/2013,0.27
9/10/2013,0.27
10/10/2013,0.26
11/10/2013,0.26
14/10/2013,.
15/10/2013,0.35
16/10/2013,0.14
17/10/2013,0.01
18/10/2013,0.01
21/10/2013,0.02
22/10/2013,0.04
23/10/2013,0.02
24/10/2013,0.02
25/10/2013,0.02
28/10/2013,0.02
29/10/2013,0.06
30/10/2013,0.05
31/10/2013,0.03
1/11/2013,0.03
4/11/2013,0.02
5/11/2013,0.06
6/11/2013,0.05
7/11/2013,0.04
8/11/2013,0.04
11/11/2013,.
12/11/2013,0.05
13/11/2013,0.06
14/11/2013,0.06
15/11/2013,0.06
18/11/2013,0.04
19/11/2013,0.05
20/11/2013,0.06
21/11/2013,0.02
22/11/2013,0.02
25/11/2013,0.03
26/11/2013,0.07
27/11/2013,0.06
28/11/2013,.
29/11/2013,0.05
2/12/2013,0.02
3/12/2013,0.04
4/12/2013,0.04
5/12/2013,0.02
6/12/2013,0.03
9/12/2013,0.03
10/12/2013,0.03
11/12/2013,0.02
12/12/2013,0.01
13/12/2013,0.02
16/12/2013,0.01
17/12/2013,0.02
18/12/2013,0.01
19/12/2013,0.01
20/12/2013,0.01
23/12/2013,0.01
24/12/2013,0.01
25/12/2013,.
26/12/2013,0
27/12/2013,0
30/12/2013,0.01
31/12/2013,0.01
1/01/2014,.
2/01/2014,0.01
3/01/2014,0.01
6/01/2014,0.01
7/01/2014,0.01
8/01/2014,0
9/01/2014,0.01
10/01/2014,0.01
13/01/2014,0
14/01/2014,0
15/01/2014,0.01
16/01/2014,0.01
17/01/2014,0.01
20/01/2014,.
21/01/2014,0.01
22/01/2014,0
23/01/2014,0.01
24/01/2014,0.04
27/01/2014,0.04
28/01/2014,0.05
29/01/2014,0.04
30/01/2014,0.04
31/01/2014,0.03
3/02/2014,0.04
4/02/2014,0.12
5/02/2014,0.13
6/02/2014,0.07
7/02/2014,0.1
10/02/2014,0.07
11/02/2014,0.05
12/02/2014,0.01
13/02/2014,0.01
14/02/2014,0.01
17/02/2014,.
18/02/2014,0.02
19/02/2014,0.04
20/02/2014,0.02
21/02/2014,0.02
24/02/2014,0.02
25/02/2014,0.04
26/02/2014,0.04
27/02/2014,0.04
28/02/2014,0.04
3/03/2014,0.04
4/03/2014,0.06
5/03/2014,0.06
6/03/2014,0.06
7/03/2014,0.06
10/03/2014,0.05
11/03/2014,0.06
12/03/2014,0.05
13/03/2014,0.06
14/03/2014,0.05
17/03/2014,0.05
18/03/2014,0.07
19/03/2014,0.07
20/03/2014,0.06
21/03/2014,0.05
24/03/2014,0.05
25/03/2014,0.05
26/03/2014,0.05
27/03/2014,0.02
28/03/2014,0.03
31/03/2014,0.03
1/04/2014,0.02
2/04/2014,0.02
3/04/2014,0.03
4/04/2014,0.03
7/04/2014,0.03
8/04/2014,0.04
9/04/2014,0.03
10/04/2014,0.03
11/04/2014,0.04
14/04/2014,0.03
15/04/2014,0.03
16/04/2014,0.03
17/04/2014,0.02
